Model,Cleaning Method,R^2,MSE,RMSE,MAE
ElasticNet,None,0.000102394,1722389.524,1312.398386,462.9369022
XGBoost,None,0.001460813,1720049.557,1311.506598,457.9044301
Linear Regression,None,8.14E-05,1722425.753,1312.412189,462.8803999
Bayesian Regression,None,0.000210172,1722203.868,1312.327653,464.1222677
Random Forest Regressor,None,-0.052472982,1812954.074,1346.45983,502.8193635
GAM,None,0.007256187,1710066.644,1307.695165,455.3638255
KNN Regression,None,-0.162672764,2002780.46,1415.196262,548.9583435
AdaBoost Regression,None,-0.003373196,1728376.457,1314.67732,463.0386291
Lasso Regression,None,8.41E-05,1722421.079,1312.410408,462.8864307
Ridge Regression,None,8.14E-05,1722425.728,1312.412179,462.8804289
Decision Tree Regression,None,0.007355863,1709894.944,1307.629513,456.9253095
ElasticNet,Z Score,0.216879476,131943.9121,363.2408458,288.3408104
XGBoost,Z Score,0.231192993,129532.3018,359.9059625,287.0618327
Linear Regression,Z Score,0.217171438,131894.721,363.1731281,288.233184
Bayesian Regression,Z Score,0.217158347,131896.9265,363.1761645,288.2425433
Random Forest Regressor,Z Score,0.161013673,141356.4512,375.9740033,299.834314
GAM,Z Score,0.233599024,129126.9222,359.3423467,285.9084128
KNN Regression,Z Score,0.019276194,165237.0633,406.4936202,324.9586258
AdaBoost Regression,Z Score,0.151359135,142983.0942,378.1310543,307.6554715
Lasso Regression,Z Score,0.21716977,131895.0019,363.1735149,288.2352272
Ridge Regression,Z Score,0.217171389,131894.7292,363.1731394,288.2332377
Decision Tree Regression,Z Score,0.210405323,133034.7084,364.7392335,290.4333179
ElasticNet,IQR,0.226355186,128876.4389,358.9936475,287.7254723
XGBoost,IQR,0.240201947,126569.7974,355.7664929,286.1804034
Linear Regression,IQR,0.227098621,128752.5949,358.8211182,287.5006073
Bayesian Regression,IQR,0.226974427,128773.2836,358.8499457,287.542312
Random Forest Regressor,IQR,0.193409533,134364.6402,366.5578265,294.9229586
GAM,IQR,0.242233947,126231.2998,355.2904443,285.2092643
KNN Regression,IQR,0.034905303,160768.8251,400.9598796,322.2787879
AdaBoost Regression,IQR,0.183950965,135940.2812,368.7008018,300.9416143
Lasso Regression,IQR,0.227079734,128755.7411,358.8255023,287.5075286
Ridge Regression,IQR,0.227098001,128752.6982,358.8212622,287.5008224
Decision Tree Regression,IQR,0.21202387,131263.7993,362.303463,291.1476275
ElasticNet,MAD,0.113129754,168663.0818,410.6861111,305.7541937
XGBoost,MAD,0.137090266,164106.3231,405.1003864,303.836343
Linear Regression,MAD,0.113115411,168665.8097,410.6894322,305.7490663
Bayesian Regression,MAD,0.113196638,168650.362,410.6706247,305.7930178
Random Forest Regressor,MAD,0.071323501,176613.7055,420.2543343,318.3056478
GAM,MAD,0.142911433,162999.2661,403.7316758,302.3854208
KNN Regression,MAD,-0.06887699,203276.7343,450.8622121,345.1866106
AdaBoost Regression,MAD,-0.043209673,198395.3788,445.4159616,354.5252669
Lasso Regression,MAD,0.113123688,168664.2355,410.6875157,305.7489498
Ridge Regression,MAD,0.113115426,168665.8067,410.6894286,305.7490742
Decision Tree Regression,MAD,0.13271952,164937.5422,406.1250327,304.3061347
